mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Phikkal Gaunpalika,.074433655,.98381877,.60314566,.85829961,,.20730183,.1392616,.15952417
Tinpatan Gaunpalika,.13413413,.991992,.51864588,.79074371,,.16624925,.15609099,.16733523
Golanjor Gaunpalika,.16231087,.99037141,.62306321,.86719304,,.25919396,.2003523,.2166048
Kamalamai Municipality,.53758687,.9898926,.6186561,.8356685,,.38930041,.47917235,.4889358
Sunkoshi Gaunpalika,.20649351,.99610388,.62708563,.87551725,,.2320172,.20869666,.2328051
Ghyanglekha Gaunpalika,.088129498,.97841728,.15270908,.28632602,,.08190167,.1605396,.12124942
Marin Gaunpalika,.24563445,.98603028,.22434166,.4033303,,.1377437,.23740201,.19413273
Hariharpurgaghi Gaunpalika,.11306532,.9723618,.23205504,.4074018,,.099827833,.13448511,.10940216
Indrasarowar Gaunpalika,.22402598,.99675328,.15423191,.29737893,,.10386279,.21515413,.15757908
Thaha Municipality,.39056939,.99555159,.41534987,.75105828,,.21610041,.29723313,.28561983
Kailash Gaunpalika,.10267229,.97046411,.16410452,.30996528,,.069569007,.12803534,.074506178
Raksirang Gaunpalika,.091968909,.95595855,.149712,.28565282,,.060606919,.12084845,.050760195
Manahari Gaunpalika,.58249158,.98905724,.4855558,.81023085,,.26004517,.43667814,.44227079
Hetauda Sub-Metropolitan City,.81704068,.99315327,.60593134,.87667656,,.44289723,.67591405,.67922282
Bhimphedi Gaunpalika,.27249357,.98714656,.40143642,.64213669,,.22583593,.24396047,.22141954
Makawanpurgadhi Gaunpalika,.27238336,.98612863,.44861272,.80288219,,.21281253,.21985155,.22262396
Bakaiya Gaunpalika,.20411985,.98689139,.24321103,.44461423,,.12998453,.21483216,.19789101
